#Initial positions of each person
T0_FaL
T0_FxL
T0_ChL
T0_GrL

#Position of each person at a particular time 
T0_FaL T0_FaR
-T0_FaL -T0_FaR
T0_FxL T0_FxR
-T0_FxL -T0_FxR
T0_ChL T0_ChR
-T0_ChL -T0_ChR
T0_GrL T0_GrR
-T0_GrL -T0_GrR
T1_FaL T1_FaR
-T1_FaL -T1_FaR
T1_FxL T1_FxR
-T1_FxL -T1_FxR
T1_ChL T1_ChR
-T1_ChL -T1_ChR
T1_GrL T1_GrR
-T1_GrL -T1_GrR
T2_FaL T2_FaR
-T2_FaL -T2_FaR
T2_FxL T2_FxR
-T2_FxL -T2_FxR
T2_ChL T2_ChR
-T2_ChL -T2_ChR
T2_GrL T2_GrR
-T2_GrL -T2_GrR
T3_FaL T3_FaR
-T3_FaL -T3_FaR
T3_FxL T3_FxR
-T3_FxL -T3_FxR
T3_ChL T3_ChR
-T3_ChL -T3_ChR
T3_GrL T3_GrR
-T3_GrL -T3_GrR
T4_FaL T4_FaR
-T4_FaL -T4_FaR
T4_FxL T4_FxR
-T4_FxL -T4_FxR
T4_ChL T4_ChR
-T4_ChL -T4_ChR
T4_GrL T4_GrR
-T4_GrL -T4_GrR
T5_FaL T5_FaR
-T5_FaL -T5_FaR
T5_FxL T5_FxR
-T5_FxL -T5_FxR
T5_ChL T5_ChR
-T5_ChL -T5_ChR
T5_GrL T5_GrR
-T5_GrL -T5_GrR
T6_FaL T6_FaR
-T6_FaL -T6_FaR
T6_FxL T6_FxR
-T6_FxL -T6_FxR
T6_ChL T6_ChR
-T6_ChL -T6_ChR
T6_GrL T6_GrR
-T6_GrL -T6_GrR
T7_FaL T7_FaR
-T7_FaL -T7_FaR
T7_FxL T7_FxR
-T7_FxL -T7_FxR
T7_ChL T7_ChR
-T7_ChL -T7_ChR
T7_GrL T7_GrR
-T7_GrL -T7_GrR


#Actions of each person at each time
-T0_mv_no_LR T0_FxL
-T0_mv_no_LR T1_FxL
-T0_mv_no_LR T0_ChL
-T0_mv_no_LR T1_ChL
-T0_mv_no_LR T0_GrL
-T0_mv_no_LR T1_GrL
-T0_mv_no_RL T0_FxR
-T0_mv_no_RL T1_FxR
-T0_mv_no_RL T0_ChR
-T0_mv_no_RL T1_ChR
-T0_mv_no_RL T0_GrR
-T0_mv_no_RL T1_GrR
-T0_mv_Fx_LR T0_ChL
-T0_mv_Fx_LR T1_ChL
-T0_mv_Fx_LR T0_GrL
-T0_mv_Fx_LR T1_GrL
-T0_mv_Fx_RL T0_ChR
-T0_mv_Fx_RL T1_ChR
-T0_mv_Fx_RL T0_GrR
-T0_mv_Fx_RL T1_GrR
-T0_mv_Ch_LR T0_FxL
-T0_mv_Ch_LR T1_FxL
-T0_mv_Ch_LR T0_GrL
-T0_mv_Ch_LR T1_GrL
-T0_mv_Ch_RL T0_FxR
-T0_mv_Ch_RL T1_FxR
-T0_mv_Ch_RL T0_GrR
-T0_mv_Ch_RL T1_GrR
-T0_mv_Gr_LR T0_FxL
-T0_mv_Gr_LR T1_FxL
-T0_mv_Gr_LR T0_ChL
-T0_mv_Gr_LR T1_ChL
-T0_mv_Gr_RL T0_FxR
-T0_mv_Gr_RL T1_FxR
-T0_mv_Gr_RL T0_ChR
-T0_mv_Gr_RL T1_ChR
-T1_mv_no_LR T1_FxL
-T1_mv_no_LR T2_FxL
-T1_mv_no_LR T1_ChL
-T1_mv_no_LR T2_ChL
-T1_mv_no_LR T1_GrL
-T1_mv_no_LR T2_GrL
-T1_mv_no_RL T1_FxR
-T1_mv_no_RL T2_FxR
-T1_mv_no_RL T1_ChR
-T1_mv_no_RL T2_ChR
-T1_mv_no_RL T1_GrR
-T1_mv_no_RL T2_GrR
-T1_mv_Fx_LR T1_ChL
-T1_mv_Fx_LR T2_ChL
-T1_mv_Fx_LR T1_GrL
-T1_mv_Fx_LR T2_GrL
-T1_mv_Fx_RL T1_ChR
-T1_mv_Fx_RL T2_ChR
-T1_mv_Fx_RL T1_GrR
-T1_mv_Fx_RL T2_GrR
-T1_mv_Ch_LR T1_FxL
-T1_mv_Ch_LR T2_FxL
-T1_mv_Ch_LR T1_GrL
-T1_mv_Ch_LR T2_GrL
-T1_mv_Ch_RL T1_FxR
-T1_mv_Ch_RL T2_FxR
-T1_mv_Ch_RL T1_GrR
-T1_mv_Ch_RL T2_GrR
-T1_mv_Gr_LR T1_FxL
-T1_mv_Gr_LR T2_FxL
-T1_mv_Gr_LR T1_ChL
-T1_mv_Gr_LR T2_ChL
-T1_mv_Gr_RL T1_FxR
-T1_mv_Gr_RL T2_FxR
-T1_mv_Gr_RL T1_ChR
-T1_mv_Gr_RL T2_ChR
-T2_mv_no_LR T2_FxL
-T2_mv_no_LR T3_FxL
-T2_mv_no_LR T2_ChL
-T2_mv_no_LR T3_ChL
-T2_mv_no_LR T2_GrL
-T2_mv_no_LR T3_GrL
-T2_mv_no_RL T2_FxR
-T2_mv_no_RL T3_FxR
-T2_mv_no_RL T2_ChR
-T2_mv_no_RL T3_ChR
-T2_mv_no_RL T2_GrR
-T2_mv_no_RL T3_GrR
-T2_mv_Fx_LR T2_ChL
-T2_mv_Fx_LR T3_ChL
-T2_mv_Fx_LR T2_GrL
-T2_mv_Fx_LR T3_GrL
-T2_mv_Fx_RL T2_ChR
-T2_mv_Fx_RL T3_ChR
-T2_mv_Fx_RL T2_GrR
-T2_mv_Fx_RL T3_GrR
-T2_mv_Ch_LR T2_FxL
-T2_mv_Ch_LR T3_FxL
-T2_mv_Ch_LR T2_GrL
-T2_mv_Ch_LR T3_GrL
-T2_mv_Ch_RL T2_FxR
-T2_mv_Ch_RL T3_FxR
-T2_mv_Ch_RL T2_GrR
-T2_mv_Ch_RL T3_GrR
-T2_mv_Gr_LR T2_FxL
-T2_mv_Gr_LR T3_FxL
-T2_mv_Gr_LR T2_ChL
-T2_mv_Gr_LR T3_ChL
-T2_mv_Gr_RL T2_FxR
-T2_mv_Gr_RL T3_FxR
-T2_mv_Gr_RL T2_ChR
-T2_mv_Gr_RL T3_ChR
-T3_mv_no_LR T3_FxL
-T3_mv_no_LR T4_FxL
-T3_mv_no_LR T3_ChL
-T3_mv_no_LR T4_ChL
-T3_mv_no_LR T3_GrL
-T3_mv_no_LR T4_GrL
-T3_mv_no_RL T3_FxR
-T3_mv_no_RL T4_FxR
-T3_mv_no_RL T3_ChR
-T3_mv_no_RL T4_ChR
-T3_mv_no_RL T3_GrR
-T3_mv_no_RL T4_GrR
-T3_mv_Fx_LR T3_ChL
-T3_mv_Fx_LR T4_ChL
-T3_mv_Fx_LR T3_GrL
-T3_mv_Fx_LR T4_GrL
-T3_mv_Fx_RL T3_ChR
-T3_mv_Fx_RL T4_ChR
-T3_mv_Fx_RL T3_GrR
-T3_mv_Fx_RL T4_GrR
-T3_mv_Ch_LR T3_FxL
-T3_mv_Ch_LR T4_FxL
-T3_mv_Ch_LR T3_GrL
-T3_mv_Ch_LR T4_GrL
-T3_mv_Ch_RL T3_FxR
-T3_mv_Ch_RL T4_FxR
-T3_mv_Ch_RL T3_GrR
-T3_mv_Ch_RL T4_GrR
-T3_mv_Gr_LR T3_FxL
-T3_mv_Gr_LR T4_FxL
-T3_mv_Gr_LR T3_ChL
-T3_mv_Gr_LR T4_ChL
-T3_mv_Gr_RL T3_FxR
-T3_mv_Gr_RL T4_FxR
-T3_mv_Gr_RL T3_ChR
-T3_mv_Gr_RL T4_ChR
-T4_mv_no_LR T4_FxL
-T4_mv_no_LR T5_FxL
-T4_mv_no_LR T4_ChL
-T4_mv_no_LR T5_ChL
-T4_mv_no_LR T4_GrL
-T4_mv_no_LR T5_GrL
-T4_mv_no_RL T4_FxR
-T4_mv_no_RL T5_FxR
-T4_mv_no_RL T4_ChR
-T4_mv_no_RL T5_ChR
-T4_mv_no_RL T4_GrR
-T4_mv_no_RL T5_GrR
-T4_mv_Fx_LR T4_ChL
-T4_mv_Fx_LR T5_ChL
-T4_mv_Fx_LR T4_GrL
-T4_mv_Fx_LR T5_GrL
-T4_mv_Fx_RL T4_ChR
-T4_mv_Fx_RL T5_ChR
-T4_mv_Fx_RL T4_GrR
-T4_mv_Fx_RL T5_GrR
-T4_mv_Ch_LR T4_FxL
-T4_mv_Ch_LR T5_FxL
-T4_mv_Ch_LR T4_GrL
-T4_mv_Ch_LR T5_GrL
-T4_mv_Ch_RL T4_FxR
-T4_mv_Ch_RL T5_FxR
-T4_mv_Ch_RL T4_GrR
-T4_mv_Ch_RL T5_GrR
-T4_mv_Gr_LR T4_FxL
-T4_mv_Gr_LR T5_FxL
-T4_mv_Gr_LR T4_ChL
-T4_mv_Gr_LR T5_ChL
-T4_mv_Gr_RL T4_FxR
-T4_mv_Gr_RL T5_FxR
-T4_mv_Gr_RL T4_ChR
-T4_mv_Gr_RL T5_ChR
-T5_mv_no_LR T5_FxL
-T5_mv_no_LR T6_FxL
-T5_mv_no_LR T5_ChL
-T5_mv_no_LR T6_ChL
-T5_mv_no_LR T5_GrL
-T5_mv_no_LR T6_GrL
-T5_mv_no_RL T5_FxR
-T5_mv_no_RL T6_FxR
-T5_mv_no_RL T5_ChR
-T5_mv_no_RL T6_ChR
-T5_mv_no_RL T5_GrR
-T5_mv_no_RL T6_GrR
-T5_mv_Fx_LR T5_ChL
-T5_mv_Fx_LR T6_ChL
-T5_mv_Fx_LR T5_GrL
-T5_mv_Fx_LR T6_GrL
-T5_mv_Fx_RL T5_ChR
-T5_mv_Fx_RL T6_ChR
-T5_mv_Fx_RL T5_GrR
-T5_mv_Fx_RL T6_GrR
-T5_mv_Ch_LR T5_FxL
